File Name,User,License,License Link,Usage
Person Sneezing Sound Bit.wav,chrisbrowne626,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
Westminster 02 bells sneeze.wav,WIM,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Ahchoo!,Mafon2,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Kids Laughing and a Man is Sneezing in the streets of Cambodia,FreeToUseSounds,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Lady with a cold sneezing.OWI.wav,Legand569,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezing OWI.wav,221296,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Sneeze_Male_Speed_Normal,Manim8,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
SNEEZE - 1,SamuelGremaud,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
SNEEZE - 3,SamuelGremaud,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
SNEEZE - 2,SamuelGremaud,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
baby_sneeze.wav,reinsamba,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Female Sneeze-RAW-.wav,celiaaurora7,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneeze - Female.wav,Vanalosswen,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Cats sneezing.wav,14FPanskaZummer_Jakub,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Estornudo Peludito.wav,Sol5,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneeze.wav,husky70,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
rm_Sneezes.wav,raremess,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Male Sneezing Softly.wav,CashCarlo,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Man sneezing,jmayoff,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezing.wav,Elandre01,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezing,vikuserro,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Woman Sneezing.wav,Jeanet_Henning,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
"Real Sneeze, Atchoo - 3 Sneezes, recorded in voiceover booth.wav",markbryant,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
sneeze.wav,DeezSoundzTho,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
sneeze.wav,sofiuzc,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneeze (Male),tonijsstrods,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezing.wav,180241virtualwindow.co.za,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
me_sneezing.wav,Connum,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Woman Sneezing.wav,221097,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Sneezing.wav,edschaefer,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneeze.wav,simonjeffery13,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezes.wav,georgisound,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneeze.wav,21100306,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Huge Male Sneeze.wav,SeriousFeather,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
sneeze.wav,starplatinums,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
sneeze.wav,moxobna,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
sneezes.wav,macohibs,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
sneezing.wav,Sapereaudio,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Female Sneezing -- Two Sneezes Spaced Out.WAV,Ndheger,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
sneezes,ahklys27,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneeze.wav,tekgnosis,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneeze.wav,nataliabm09,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezing.wav,ProdMultimediasHQI,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezing.wav,jay-kelly007,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
Sneezing,Hourofmidnight,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
Man Sneeze.wav,William020304,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Girl sneezing.wav,TheoMachine,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
sneeze 2.wav,erikschenkel,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
sneezing 2.wav,AndreAngelo,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
sneezing 1.wav,AndreAngelo,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
sneeze.wav,sidequesting,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
A man sneezing,JPBILLINGSLEYJR,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezing,D4XX,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezing,BiancaBothaPure,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Sneeze,shaderrow,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Man Sneezing Sneeze,deleted_user_7146007,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Man Sneezing Sneeze 3,deleted_user_7146007,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Man Sneezing Sneeze Into Hands,deleted_user_7146007,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Man Sneezing Sneeze 2,deleted_user_7146007,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezing,faithechetty,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Sneeze,rodrigocswm,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Sneezing.wav,170134,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
"Sneeze, Single, A.wav",InspectorJ,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
HUMAN-BABY-CRYING-START SLOW THEN END-WITH FILL TONE.wav,Scott_Snailham,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Voice_Baby_Cry_Sequence_Long_Mono.wav,Nox_Sound,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
jok.wav,Gvido,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
baby_crying1.wav,zerolagtime,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
Premature Baby 2.WAV,sebastianlund,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
Baby cry.wav,crazyadamos,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Baby Noises2 (3 month old),mushroomjesus,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
Cry Baby.wav,renatofarabeuf,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
